"unique_id","species_harmonized","mean_lat","mean_long","intercept","slope","se_slope","cv_pop","McFadden_R2","year_s","year_10","year_e","year_range","n","rel_sample_per_year","fitted_first","fitted_10","fitted_last","ratio_fitted","ln_ratio_fitted","Kingdom","Phylum","Order","Class","Family","Hemisphere","Ecosystem","Position","ShiftR","Unit","PrAb","Sampling","Grain","Signif","Quality","Start","Reference","Source","usageKey","cent_lat","cent_long","dist_BioTime_BioShift"
"Accipiter nisus 809 NA","Accipiter nisus",53.307573,-0.859682,0,0,0.03175,0,0,1985,1995,2018,34,9,0.264705882352941,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Animalia","Chordata","Falconiformes","Aves","Accipitridae","North","Terrestrial","Centroid",-3.617,"km/year","ABUND","CONT","MEDIUM","YES","MODELED",1994,182,"A181_P1","GBIF:2480637",55.2931843,-2.8883335,257.313294525568
"Accipiter striatus 225 NA","Accipiter striatus",33.43,-111.93,0,0,0.239045,0,0,2004,2014,2009,6,6,1,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Animalia","Chordata","Falconiformes","Aves","Accipitridae","North","Terrestrial","Centroid",1.513,"km/year","ABUND","CONT","COARSE","NO","RESURVEYED",1966,123,"A122_P1","GBIF:9740253",43.6271988,-107.96940985,1185.99688200866
"Accipiter striatus 226 NA","Accipiter striatus",33.43,-111.93,93.2249,-0.0466,0.682891,5.98984519316333,NA,1998,2008,2000,3,3,1,1.12372160235228,0.705138487450848,1.02372160237236,0.627502831639784,-0.466007095413019,"Animalia","Chordata","Falconiformes","Aves","Accipitridae","North","Terrestrial","Centroid",1.513,"km/year","ABUND","CONT","COARSE","NO","RESURVEYED",1966,123,"A122_P1","GBIF:9740253",43.6271988,-107.96940985,1185.99688200866
"Acer pensylvanicum 235 139","Acer pensylvanicum",43.95305,-71.73531,0,0,0.092582,0,0,1994,2004,2009,16,3,0.1875,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 197","Acer pensylvanicum",43.95305,-71.73531,0,0,0.141421,0,0,1994,2004,2004,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 215","Acer pensylvanicum",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 225","Acer pensylvanicum",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 238","Acer pensylvanicum",43.95305,-71.73531,0,0,0.089442,0,0,1994,2004,2009,16,4,0.25,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 248","Acer pensylvanicum",43.95305,-71.73531,0,0,0.089442,0,0,1994,2004,2009,16,4,0.25,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 262","Acer pensylvanicum",43.95305,-71.73531,0,0,0.089442,0,0,1994,2004,2009,16,4,0.25,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 263","Acer pensylvanicum",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 270","Acer pensylvanicum",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 271","Acer pensylvanicum",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 279","Acer pensylvanicum",43.95305,-71.73531,0,0,0.089442,0,0,1994,2004,2009,16,4,0.25,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 295","Acer pensylvanicum",43.95305,-71.73531,0,0,0.089442,0,0,1994,2004,2009,16,4,0.25,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 302","Acer pensylvanicum",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 305","Acer pensylvanicum",43.95305,-71.73531,0,0,0.089442,0,0,1994,2004,2009,16,4,0.25,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 235 359","Acer pensylvanicum",43.95305,-71.73531,0,0,0.141421,0,0,1999,2009,2009,11,3,0.272727272727273,1.00000000004676,1.00000000004676,1.00000000004676,1,0,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1096.6330780587
"Acer pensylvanicum 242 2","Acer pensylvanicum",45.9929957777778,-74.003114037037,-480.0265,0.2424,0.0124,68.2315047714624,0.54,2000,2010,2006,7,6,0.857142857142857,130.729687828626,1476.7956291339,559.940561713613,11.2965589810773,2.42449816439529,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1157.72847959115
"Acer pensylvanicum 242 3","Acer pensylvanicum",45.9931016153846,-74.0023650384615,336.3487,-0.1647,0.007535,51.0386711864711,NA,2000,2010,2006,7,6,0.857142857142857,1051.16215515947,202.49116078489,391.301514365873,0.192635512790288,-1.64695541037275,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1157.76899928848
"Acer pensylvanicum 242 4","Acer pensylvanicum",45.9933564,-74.0017916,240.7883,-0.117,0.007408,33.764221829282,0.625,2000,2010,2006,7,6,0.857142857142857,943.628543946627,292.961144979912,467.742079766701,0.310462360278583,-1.16969260789202,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1157.81646539547
"Acer pensylvanicum 242 5","Acer pensylvanicum",45.9935413529412,-74.0012098529412,320.8585,-0.1566,0.003578,58.5712418406775,0.626,1998,2008,2006,9,7,0.777777777777778,2867.28731144379,598.88444531367,819.159871662715,0.208867957851112,-1.56605300729149,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1157.85766224763
"Acer pensylvanicum 242 6","Acer pensylvanicum",45.9937011935484,-74.0007843225806,283.6192,-0.1381,0.0039,41.4173507448286,NA,1998,2008,2006,9,7,0.777777777777778,2242.04557135237,563.542627403605,742.797280610903,0.251351995072823,-1.38090095144588,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1157.89012040843
"Acer pensylvanicum 242 7","Acer pensylvanicum",45.9937807058824,-74.0001471764706,295.3775,-0.1437,0.003037,60.3863915304942,0.566,1998,2008,2006,9,7,0.777777777777778,3781.04706413884,898.404560108648,1197.56742637291,0.237607346554747,-1.43713577212844,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1157.92359770958
"Acer pensylvanicum 242 8","Acer pensylvanicum",45.9939110606061,-73.9995991515151,373.915,-0.1831,0.003503,62.6354239842924,0.819,1998,2008,2006,9,7,0.777777777777778,3330.27536931068,533.76661340887,769.798664910236,0.160277020431302,-1.83085158315924,"Plantae","Tracheophyta","Sapindales","Magnoliopsida","Sapindaceae","North","Terrestrial","Centroid",-9.52,"km/year","ABUND","TWO","COARSE","YES","RESURVEYED",1980,41,"A40_P1","GBIF:3189836",36.9285759,-80.83248295,1157.95825683574
